Date,Text,Tokens
12/2023,Adanya fore ajaa,"['adanya', 'fore', 'ajaa']"
12/2023,sejauh ini fore…,"['sejauh', 'ini', 'fore']"
12/2023,"Fore tapi yang chizu:( udah gk produksi yang chizu lagi tapi huft:( Kopken, point coffe sama feel matcha","['fore', 'tapi', 'yang', 'chizu', 'udah', 'gk', 'produksi', 'yang', 'chizu', 'lagi', 'tapi', 'huft', 'kopken', 'point', 'coffe', 'sama', 'feel', 'matcha']"
12/2023,sejauh ini point coffee sih kekk auaysgvssyysgs cibta bgttt bgt bgt,"['sejauh', 'ini', 'point', 'coffee', 'sih', 'kekk', 'auaysgvssyysgs', 'cibta', 'bgttt', 'bgt', 'bgt']"
12/2023,knp ya point coffee diket rmhku ttp mehong dan jarang promo? apa itu depends on daerah? pdhl pas ngerantau di jkt bnyk bgt promonya,"['knp', 'ya', 'point', 'coffee', 'diket', 'rmhku', 'ttp', 'mehong', 'dan', 'jarang', 'promo', 'apa', 'itu', 'depend', 'daerah', 'pdhl', 'pas', 'ngerantau', 'di', 'jkt', 'bnyk', 'bgt', 'promonya']"
12/2023,halte mana iniii enak bgt ada tomoro coffee,"['halte', 'mana', 'iniii', 'enak', 'bgt', 'ada', 'tomoro', 'coffee']"
12/2023,rill seenak ituuu aku beli sbgai ganti fore yg chocomint,"['rill', 'seenak', 'ituuu', 'aku', 'beli', 'sbgai', 'ganti', 'fore', 'yg', 'chocomint']"
12/2023,"Yg maniez2 sering dipesan Kopken: Hazelnut latte (lebih enak yg light, skrg udh discontinued) Janji Jiwa: hitam maniez (dah discontinued) Fore: tiramisu latte/irish latte Animo: kopsus less sugar.. Yg lain blm pernah repeat order kayaknya, kecuali TanaMera di Pancious..","['yg', 'sere', 'dipesan', 'kopken', 'hazelnut', 'latte', 'lebih', 'enak', 'yg', 'light', 'skrg', 'udh', 'discontinue', 'janji', 'jiwa', 'hitam', 'maniez', 'dah', 'discontinue', 'fore', 'tiramisu', 'latte', 'irish', 'latte', 'animo', 'kopsus', 'sugar', 'yg', 'lain', 'blm', 'pernah', 'repeat', 'order', 'kayaknya', 'kecuali', 'tanamera', 'di', 'pancious']"
12/2023,"POV orang Jogja: 1. Homwok (Jujur enak, tapi sering underrated. Paling suka yg original) 2. 26 Coffee 3. Klinik kopi (Coffee addict wajib ke sin) 4. Fore (Suka triple peach americano dan butterscotch sea salt latte) 5. 11/11 Coffee 6. Couvee 7. Janji jiwa","['pov', 'orang', 'jogja', 'homwok', 'jujur', 'enak', 'tapi', 'sering', 'underrate', 'pale', 'suka', 'yg', 'original', 'coffee', 'klinik', 'kopi', 'coffee', 'addict', 'wajib', 'ke', 'sin', 'fore', 'suka', 'triple', 'peach', 'americano', 'dan', 'butterscotch', 'sea', 'salt', 'latte', 'coffee', 'couvee', 'janji', 'jiwa']"
12/2023,"Kopi kenangan: latte, cappuccino Tuku: kopi susu tetangga Fore: caramel praline macchiato Tomoro: Tomoro oat latte, caffe latte","['kopi', 'kenangan', 'latte', 'cappuccino', 'tuku', 'kopi', 'susu', 'tetangga', 'fore', 'caramel', 'praline', 'macchiato', 'tomoro', 'tomoro', 'oat', 'latte', 'caffe', 'latte']"
12/2023,krn disini blm ada tuku jd sering ke fore,"['krn', 'disini', 'blm', 'ada', 'tuku', 'jd', 'sere', 'ke', 'fore']"
12/2023,"Servisnya bagus banget point coffee, bentuk tanggungjawab","['servisnya', 'bagus', 'banget', 'point', 'coffee', 'bentuk', 'tanggungjawab']"
12/2023,"Butterscotch apa gitu namanya kalo di Fore, lupa gue","['butterscotch', 'apa', 'gitu', 'namanya', 'kalo', 'di', 'fore', 'lupa', 'gue']"
12/2023,"Buktiin aja langsung nder, datang ke fore tgl segitu","['buktiin', 'aja', 'langsung', 'nder', 'datang', 'ke', 'fore', 'tgl', 'segitu']"
12/2023,"di duri bahkan stand nya sampe 2 tuh, satu di atas sebelah kopi kenangan, satu di peron 5","['di', 'duri', 'bahkan', 'stand', 'nya', 'sampe', 'tuh', 'satu', 'di', 'atas', 'sebelah', 'kopi', 'kenangan', 'satu', 'di', 'peron']"
12/2023,Rekom menu tomoro coffee yang enak dung,"['rekom', 'menu', 'tomoro', 'coffee', 'yang', 'enak', 'dung']"
12/2023,eh di tomoro yang matcha oatmilk jugaa enak bgttt padahal aku ga terlalu addict ama matcha tapi kalau matcha tomoro aku bisa repeat order kalau kesana,"['eh', 'di', 'tomoro', 'yang', 'matcha', 'oatmilk', 'jugaa', 'enak', 'bgttt', 'padahal', 'aku', 'ga', 'terlalu', 'addict', 'ama', 'matcha', 'tapi', 'kalau', 'matcha', 'tomoro', 'aku', 'bisa', 'repeat', 'order', 'kalau', 'kesana']"
12/2023,"Kopken, tomoro kopinya kureng","['kopken', 'tomoro', 'kopinya', 'kureng']"
12/2023,"kopkenn, kalo mau cari yg promo tomoro","['kopkenn', 'kalo', 'mau', 'cari', 'yg', 'promo', 'tomoro']"
12/2023,"kopken, kalau buat gue tomoro kemanisan","['kopken', 'kalau', 'buat', 'gue', 'tomoro', 'kemanisan']"
12/2023,"Point coffee ini enak, harga jg standar cuma minusnya ga bisa nongkrong, nugas dan wifian. Bisa kaliya point coffee buka cafe kayak fore gitu haha","['point', 'coffee', 'ini', 'enak', 'harga', 'jg', 'standar', 'cuma', 'minusnya', 'ga', 'bisa', 'nongkrong', 'nugas', 'dan', 'wifian', 'bisa', 'kaliya', 'point', 'coffee', 'buka', 'cafe', 'kayak', 'fore', 'gitu', 'haha']"
12/2023,Indomaret yg ada point coffee buka dari jam berapa deh?,"['indomaret', 'yg', 'ada', 'point', 'coffee', 'buka', 'dari', 'jam', 'berapa', 'deh']"
12/2023,Jadi ngide mampir dulu sebelum ngantor to make up yang kemarin ketinggalan di mobil temen kenapa gue harus tau ada point coffee yang searah sama jalan ke kantor. Wks tapi besok senen,"['jadi', 'ngide', 'mampir', 'dulu', 'sebelum', 'ngantor', 'yang', 'kemarin', 'ketinggalan', 'di', 'mobil', 'temen', 'kenapa', 'gue', 'harus', 'tau', 'ada', 'point', 'coffee', 'yang', 'searah', 'sama', 'jalan', 'ke', 'kantor', 'wks', 'tapi', 'besok', 'senen']"
12/2023,matcha kopken sama fore emang best bgt,"['matcha', 'kopken', 'sama', 'fore', 'emang', 'well', 'bgt']"
12/2023,"Baristaa point coffee ku juga kek agak judes gituu , apa aku kepagian yah belinya tapi sebelumku tuh kek udh langganan gitu orangnya dan baristanya ramah poll ke dia","['baristaa', 'point', 'coffee', 'ku', 'juga', 'kek', 'agak', 'judes', 'gituu', 'apa', 'aku', 'kepagian', 'yah', 'belinya', 'tapi', 'sebelumku', 'tuh', 'kek', 'udh', 'langganan', 'gitu', 'orangnya', 'dan', 'baristanya', 'ramah', 'poll', 'ke', 'dia']"
12/2023,"Makasih bnyak2 sm mbak barista point coffee yg ceria bgtt ngeladenin gw beli dahal mau tutup, mana ada adegan gabisa buka alat whip creamnya tp mbanya masih ceria :')","['makasih', 'sm', 'mbak', 'barista', 'point', 'coffee', 'yg', 'ceria', 'bgtt', 'ngeladenin', 'gw', 'beli', 'dahal', 'mau', 'tutup', 'mana', 'ada', 'adegan', 'gabisa', 'buka', 'alat', 'whip', 'creamnya', 'tp', 'mbanya', 'masih', 'ceria']"
12/2023,ooh.. gitu! selama ini aku kalo beli jajan + point coffee tu bayar di kasir terpisah. dan dari kedua pihak kasir ga pernah kasih info bisa begitu,"['ooh', 'gitu', 'selama', 'ini', 'aku', 'kalo', 'beli', 'jajan', 'point', 'coffee', 'tu', 'bayar', 'di', 'kasir', 'terpisah', 'dan', 'dari', 'kedua', 'pihak', 'kasir', 'ga', 'pernah', 'kasih', 'info', 'bisa', 'begitu']"
12/2023,"Matcha d'cost, es krim matcha shabu kojo, sm matchanya fore","['matcha', 'es', 'krim', 'matcha', 'shabu', 'kojo', 'sm', 'matchanya', 'fore']"
12/2023,kok ngeselin gini yaaa??? point coffee di daerah rumahku pada ramah ramah dan baik baik pol,"['kok', 'ngeselin', 'gini', 'yaaa', 'point', 'coffee', 'di', 'daerah', 'rumahku', 'pada', 'ramah', 'ramah', 'dan', 'baik', 'baik', 'pol']"
12/2023,"Point coffee mana itu. Aku selama beli point coffee gprnah digtuin kok, pdhal klo milih menu lama bgt tp baristanya ttp ramah.","['point', 'coffee', 'mana', 'itu', 'aku', 'selama', 'beli', 'point', 'coffee', 'gprnah', 'digtuin', 'kok', 'pdhal', 'klo', 'milih', 'menu', 'lama', 'bgt', 'tp', 'baristanya', 'ttp', 'ramah']"
12/2023,"Barista point coffee di tempat gw jg judes bgt, gada ramah2nya samsek trs ga bilang pula kalo gabisa cash pdhl dah selese pesen smpe keluar struk. Giliran gw bilang gada cash ga peduli suruh cari sendiri mana ga dikasi opsi lain ckck","['barista', 'point', 'coffee', 'di', 'tempat', 'gw', 'jg', 'jude', 'bgt', 'gada', 'samsek', 'trs', 'ga', 'bilang', 'pula', 'kalo', 'gabisa', 'cash', 'pdhl', 'dah', 'selese', 'pesen', 'smpe', 'keluar', 'struk', 'giliran', 'gw', 'bilang', 'gada', 'cash', 'ga', 'peduli', 'suruh', 'cari', 'sendiri', 'mana', 'ga', 'dikasi', 'opsi', 'lain', 'ckck']"
12/2023,Fore sih udah paling enak,"['fore', 'sih', 'udah', 'pale', 'enak']"
12/2023,"Aneh, padahal memang tiap Senin Point Coffee selalu kasih promo. Mending yang begini ditegur atau dilaporkan biar yang lain dapat rezeki posisi dia. @Indomaret @pointcoffeeid","['aneh', 'padahal', 'memang', 'tiap', 'senin', 'point', 'coffee', 'selalu', 'kasih', 'promo', 'mend', 'yang', 'begini', 'ditegur', 'atau', 'dilaporkan', 'biar', 'yang', 'lain', 'dapat', 'rezeki', 'posisi', 'dia']"
12/2023,aku dulu pernah ke point coffee juga dan barista nya galak kaya judes... mungkin kecapean ya mbak nya. aku buru buru pesen biar lamgsung pergi,"['aku', 'dulu', 'pernah', 'ke', 'point', 'coffee', 'juga', 'dan', 'barista', 'nya', 'galak', 'kaya', 'judes', 'mungkin', 'kecapean', 'ya', 'mbak', 'nya', 'aku', 'buru', 'buru', 'pesen', 'biar', 'lamgsung', 'pergi']"
12/2023,"Enih fore, biasanya beli nonkopi dan itu pertama kali beli yg kopi TERNYATA BENERAN STRONG KOPINYA, 21 tahun hidup baru kali ini habis minum kopi lambungku bergejolak minum sbuks, kopstud, janjiw, kopken, point coffe, peskop, dan kopi kopian di cafe ga pernah sakit perut","['enih', 'fore', 'biasanya', 'beli', 'nonkopi', 'dan', 'itu', 'pertama', 'kali', 'beli', 'yg', 'kopi', 'ternyata', 'beneran', 'strong', 'kopinya', 'tahun', 'hidup', 'baru', 'kali', 'ini', 'habis', 'minum', 'kopi', 'lambungku', 'bergejolak', 'minum', 'sbuks', 'kopstud', 'janjiw', 'kopken', 'point', 'coffe', 'peskop', 'dan', 'kopi', 'kopian', 'di', 'cafe', 'ga', 'pernah', 'sakit', 'perut']"
12/2023,Point coffee menemani perjalanan jkt - bdg,"['point', 'coffee', 'menemani', 'perjalanan', 'jkt', 'bdg']"
12/2023,"Disini gaada point coffee pdhl bm dri lama bgt, rasanya pgn gw sendiri aja yg buka cabang disini, tp tabungan gw baru 15rb","['disini', 'gaada', 'point', 'coffee', 'pdhl', 'bm', 'dri', 'lama', 'bgt', 'rasanya', 'pgn', 'gw', 'sendiri', 'aja', 'yg', 'buka', 'cabang', 'disini', 'tp', 'tabungan', 'gw', 'baru']"
12/2023,"Eh samaa, barista point coffee deket rumah gue juga gitu, kalo pelanggan mau beli dia pasti selalu kabur2an dah, ngelayanin juga setengah hati dan selalu buru2, kalo pesenannya yang aneh2 pasti bilang ""kosong kak, gak ada"" tapi jutek banget, jadi males mau beli","['eh', 'samaa', 'barista', 'point', 'coffee', 'deket', 'rumah', 'gue', 'juga', 'gitu', 'kalo', 'pelanggan', 'mau', 'beli', 'dia', 'pasti', 'selalu', 'dah', 'ngelayanin', 'juga', 'setengah', 'hati', 'dan', 'selalu', 'kalo', 'pesenannya', 'yang', 'pasti', 'bilang', 'kosong', 'kak', 'gak', 'ada', 'tapi', 'jutek', 'banget', 'jadi', 'male', 'mau', 'beli']"
12/2023,next pengen nyobain Matcha Espresso Oatmilk Latte punya Point Coffee,"['pengen', 'nyobain', 'matcha', 'espresso', 'oatmilk', 'latte', 'punya', 'point', 'coffee']"
12/2023,"kopi saku, kopi baper, matcha aa smua dr point coffee aku sukaa","['kopi', 'saku', 'kopi', 'baper', 'matcha', 'aa', 'smua', 'dr', 'point', 'coffee', 'aku', 'sukaa']"
12/2023,cookies n cream. selama ini tiap ada menu cnc dimanapun pasti rasanya yaudah oke gitu. tapi waktu nyobain punya point coffee kayak “bisa ya cookies n cream dibikin enak bgt???”,"['cookie', 'n', 'cream', 'selama', 'ini', 'tiap', 'ada', 'menu', 'cnc', 'dimanapun', 'pasti', 'rasanya', 'yaudah', 'oke', 'gitu', 'tapi', 'waktu', 'nyobain', 'punya', 'point', 'coffee', 'kayak', 'bisa', 'ya', 'cookie', 'n', 'cream', 'dibikin', 'enak', 'bgt']"
12/2023,"Pernah pesen di point coffee ada yg baik bgt ditungguin, dijelasin juga rasa kopinya satu2, Tapi ada jg yg macem sender kirim Apakah beda pelatihan karyawan?","['pernah', 'pesen', 'di', 'point', 'coffee', 'ada', 'yg', 'baik', 'bgt', 'ditungguin', 'dijelasin', 'juga', 'rasa', 'kopinya', 'tapi', 'ada', 'jg', 'yg', 'macem', 'sender', 'kirim', 'apakah', 'beda', 'pelatihan', 'karyawan']"
12/2023,"Lagi suka banget sama Tomoro, apalagi sering bagi bagi kopi gratis + banyak voc diskon. Plus minumannya gak terlalu manis, pokonya enakkk","['lagi', 'suka', 'banget', 'sama', 'tomoro', 'apalagi', 'sere', 'bagi', 'bagi', 'kopi', 'gratis', 'banyak', 'voc', 'diskon', 'plus', 'minumannya', 'gak', 'terlalu', 'manis', 'pokonya', 'enakkk']"
12/2023,"Point coffee tuh manishhhhh banget ga tahannnn padahal dah kinta kurangi gula, kayanya kalo beli harus minta sama sekali gausah pake gula kali ya","['point', 'coffee', 'tuh', 'manishhhhh', 'banget', 'ga', 'tahannnn', 'padahal', 'dah', 'kinta', 'kurangi', 'gula', 'kayanya', 'kalo', 'beli', 'harus', 'minta', 'sama', 'sekali', 'gausah', 'pake', 'gula', 'kali', 'ya']"
12/2023,Fore aku,"['fore', 'aku']"
12/2023,Ini kopi kenangan mantan favorit bgt,"['ini', 'kopi', 'kenangan', 'mantan', 'favorit', 'bgt']"
12/2023,"Gimana anak umur 3thun,4thun sering dibeliin segala macam rupa minuman kekinian kek Boba lah, hampir tiap hari udh tauan chatime,Tomoro lah, no coffee pokoknya. Manis semua itu","['gimana', 'anak', 'umur', 'sere', 'dibeliin', 'segala', 'macam', 'rupa', 'minuman', 'kekinian', 'kek', 'boba', 'lah', 'hampir', 'tiap', 'hari', 'udh', 'tauan', 'chatime', 'tomoro', 'lah', 'coffee', 'pokoknya', 'manis', 'semua', 'itu']"
12/2023,Point coffee andalanku tiap senin,"['point', 'coffee', 'andalanku', 'tiap', 'senin']"
12/2023,Masih belum bisa terima bilang frappe dikoreksi jadi frep di Point Coffee stasiun Purwokerto,"['masih', 'belum', 'bisa', 'terima', 'bilang', 'frappe', 'dikoreksi', 'jadi', 'frep', 'di', 'point', 'coffee', 'stasiun', 'purwokerto']"
12/2023,"Holycow, sushi tei, nannys pavilon, ichiban sushi, tawan, pepper lunch, sbux cake(kalo punya reward), boost, fore","['holycow', 'sushi', 'tei', 'nannys', 'pavilon', 'ichiban', 'sushi', 'tawan', 'pepper', 'lunch', 'sbux', 'punya', 'reward', 'boost', 'fore']"
12/2023,"Fore enak, ga terlalu strong kopinya","['fore', 'enak', 'ga', 'terlalu', 'strong', 'kopinya']"
12/2023,"Dua enih, iya aku sapi doyan rumput. Bodo amat pokoknya matcha enak semua di tomoro. Tpppp kalo matcha yg susunya diganti oatmilk aku kurang suka sumpah rasanya kek minumbnori","['dua', 'enih', 'iya', 'aku', 'sapi', 'doyan', 'rumput', 'bodo', 'amat', 'pokoknya', 'matcha', 'enak', 'semua', 'di', 'tomoro', 'tpppp', 'kalo', 'matcha', 'yg', 'susunya', 'diganti', 'oatmilk', 'aku', 'kurang', 'suka', 'sumpah', 'rasanya', 'kek', 'minumbnori']"
12/2023,"kl doyan rumput2an matcha/hojicha oat latte kopinya baru coba manuka oat latte, kata masnya td si madu+espresso+oat tp gk bikin pusing/mual, aman di perutku yg kadang perih wkwkwkwkwk dan kadar gula tomoro sgt diabetesable, gk req pun aman","['kl', 'doyan', 'matcha', 'hojicha', 'oat', 'latte', 'kopinya', 'baru', 'coba', 'manuka', 'oat', 'latte', 'kata', 'masnya', 'td', 'si', 'tp', 'gk', 'bikin', 'puse', 'mual', 'aman', 'di', 'perutku', 'yg', 'kadang', 'perih', 'wkwkwkwkwk', 'dan', 'kadar', 'gula', 'tomoro', 'sgt', 'diabetesable', 'gk', 'req', 'pun', 'aman']"
12/2023,Pengen banget kromboloni ini tapi tidak kunjung ku eksekusi. Malah ngeksekusi point coffee promo i do like monday mistery troos,"['pengen', 'banget', 'kromboloni', 'ini', 'tapi', 'tidak', 'kunjung', 'ku', 'eksekusi', 'malah', 'ngeksekusi', 'point', 'coffee', 'promo', 'like', 'monday', 'mistery', 'troo']"
12/2023,FYI KALO KALIAN LEWAT TOL JAKARTA-MERAK KM 43 itu ada mereka jual di @Indomaret point caffee gedhe baru buka,"['fyi', 'kalo', 'kalian', 'lewat', 'tol', 'jakarta', 'merak', 'km', 'itu', 'ada', 'mereka', 'jual', 'di', 'point', 'caffee', 'gedhe', 'baru', 'buka']"
12/2023,"ih sumpah matcha tomoro gaenak anj , enakan point valid , tp gua ttp gsuka matcha","['ih', 'sumpah', 'matcha', 'tomoro', 'gaenak', 'anj', 'enakan', 'point', 'valid', 'tp', 'gua', 'ttp', 'gsuka', 'matcha']"
12/2023,"Menu fore kids nder atau matcha Kl kopi tp gak mau terlalu strong ada Light buttercream latte. Dia kopinya cuma di cream,base minumannya susu Yg choco mint aku gk terlalu suka. Kentel banget coklatnya Fav aku sih kopi yg tiramisu latte,trs bisa minta less kopi/espresso","['menu', 'fore', 'kids', 'nder', 'atau', 'matcha', 'kl', 'kopi', 'tp', 'gak', 'mau', 'terlalu', 'strong', 'ada', 'light', 'buttercream', 'latte', 'dia', 'kopinya', 'cuma', 'di', 'cream', 'base', 'minumannya', 'susu', 'yg', 'choco', 'mint', 'aku', 'gk', 'terlalu', 'suka', 'kentel', 'banget', 'coklatnya', 'fav', 'aku', 'sih', 'kopi', 'yg', 'tiramisu', 'latte', 'trs', 'bisa', 'minta', 'kopi', 'espresso']"
12/2023,aku kalo beli point coffee order yang no sugar,"['aku', 'kalo', 'beli', 'point', 'coffee', 'order', 'yang', 'sugar']"
12/2023,Point coffee besok ada promo monday mystery ga ya?,"['point', 'coffee', 'besok', 'ada', 'promo', 'monday', 'mystery', 'ga', 'ya']"
12/2023,kalo beli point coffee emang harus less sugar walaupun lu sweet tooth,"['kalo', 'beli', 'point', 'coffee', 'emang', 'harus', 'sugar', 'walaupun', 'lu', 'sweet', 'tooth']"
12/2023,"Coba ke sbux atau point coffee, mereka ada decaf","['coba', 'ke', 'sbux', 'atau', 'point', 'coffee', 'mereka', 'ada', 'decaf']"
12/2023,Minusnya point coffee kalau udah cair rasanya tinggal gula arennya doang saking banyaknya,"['minusnya', 'point', 'coffee', 'kalau', 'udah', 'cair', 'rasanya', 'tinggal', 'gula', 'arennya', 'doang', 'sake', 'banyaknya']"
12/2023,"Selalu minta less sugar, nder. Takaran point coffee sekitaran 10-15ml soalnya..","['selalu', 'minta', 'sugar', 'nder', 'takaran', 'point', 'coffee', 'sekitaran', 'soalnya']"
12/2023,"Less sugar point coffee masih manis, tapi jadinya malah pas gitu rasanya dibanding normal sugar yang always kemanisan.","['sugar', 'point', 'coffee', 'masih', 'manis', 'tapi', 'jadinya', 'malah', 'pas', 'gitu', 'rasanya', 'dibande', 'normal', 'sugar', 'yang', 'kemanisan']"
12/2023,knp fore gaada di domku siihh,"['knp', 'fore', 'gaada', 'di', 'domku', 'siihh']"
12/2023,@fidzaaja juga sekali beli 3 cup beda rasa. Mau riview fore kayanya. Tp dia beli sendiri,"['juga', 'sekali', 'beli', 'cup', 'beda', 'rasa', 'mau', 'riview', 'fore', 'kayanya', 'tp', 'dia', 'beli', 'sendiri']"
12/2023,NDER BAGI SATU KE AKU AKU MAU FORE,"['nder', 'bagi', 'satu', 'ke', 'aku', 'aku', 'mau', 'fore']"
12/2023,… semangat nder sugar levelnya fore parah sih semoga dibeliin yg half sugar,"['semangat', 'nder', 'sugar', 'levelnya', 'fore', 'parah', 'sih', 'semoga', 'dibeliin', 'yg', 'half', 'sugar']"
12/2023,GAUSAH DITANYA FORE RASANY KEK GMN BAGI I ENAK BGT PLSSSSS,"['gausah', 'ditanya', 'fore', 'rasany', 'kek', 'gmn', 'bagi', 'enak', 'bgt', 'plsssss']"
12/2023,"Cant relate sama cowokku yg kudet bgt soal kulineran wkt ditanya aku lagi dmn aku jwb ""aku di fore"" mlh kemrungsung fore tuh apa yg bener kamu aku tanya serius bla bla bla Lah aku bnrn di fore dodolssss","['not', 'relate', 'sama', 'cowokku', 'yg', 'kudet', 'bgt', 'soal', 'kulineran', 'wkt', 'ditanya', 'aku', 'lagi', 'dmn', 'aku', 'jwb', 'aku', 'di', 'fore', 'mlh', 'kemrungsung', 'fore', 'tuh', 'apa', 'yg', 'bener', 'kamu', 'aku', 'tanya', 'serius', 'bla', 'bla', 'bla', 'lah', 'aku', 'bnrn', 'di', 'fore', 'dodolssss']"
12/2023,kl pacarku beliin aku fore sebanyak ini pasti langsung ak nikahin sich nder,"['kl', 'pacarku', 'beliin', 'aku', 'fore', 'sebanyak', 'ini', 'pasti', 'langsung', 'ak', 'nikahin', 'sich', 'nder']"
12/2023,plis cobain point coffee ! itu bener2 recomended banget. gula arennya oke juga. frappenya seru2 juga. harganya affordable juga,"['plis', 'cobain', 'point', 'coffee', 'itu', 'recomende', 'banget', 'gula', 'arennya', 'oke', 'juga', 'frappenya', 'juga', 'harganya', 'affordable', 'juga']"
12/2023,dari awal muncul fore pengen banget nyoba tapi belom kesampean,"['dari', 'awal', 'muncul', 'fore', 'pengen', 'banget', 'nyoba', 'tapi', 'belom', 'kesampean']"
12/2023,Point coffee yg kopi baper enak bgt,"['point', 'coffee', 'yg', 'kopi', 'baper', 'enak', 'bgt']"
12/2023,"fore sih, yang butterscot sama buttercream tiramisu latte, sama caramel machiato nya dah","['fore', 'sih', 'yang', 'butterscot', 'sama', 'buttercream', 'tiramisu', 'latte', 'sama', 'caramel', 'machiato', 'nya', 'dah']"
12/2023,point coffee semua menu kopinya enak bgtt asalkan less sugar kalau gamau manis bgt,"['point', 'coffee', 'semua', 'menu', 'kopinya', 'enak', 'bgtt', 'asalkan', 'sugar', 'kalau', 'gamau', 'manis', 'bgt']"
12/2023,"Kalo menurut lidah gua,Kopi nako : pokoknya yg gula aren(lupa Karna belinya di TKP jadi gak bisa cek history orderan), kopi Tiger : kopi susu Tiger. Kopi Kenangan : kopi kenangan mantan ceo,avocado coffee. Point coffee : caramel macchiato,palm sugar,Dolce,avocoffee","['kalo', 'menurut', 'lidah', 'gua', 'kopi', 'nako', 'pokoknya', 'yg', 'gula', 'karna', 'belinya', 'di', 'tkp', 'jadi', 'gak', 'bisa', 'cek', 'history', 'orderan', 'kopi', 'tiger', 'kopi', 'susu', 'tiger', 'kopi', 'kenangan', 'kopi', 'kenangan', 'mantan', 'ceo', 'avocado', 'coffee', 'point', 'coffee', 'caramel', 'macchiato', 'palm', 'sugar', 'dolce', 'avocoffee']"
12/2023,"Kalo menurut lidah gua,Kopi nako : pokoknya yg gula aren(lupa Karna belinya di TKP jadi gak bisa cek history orderan), kopi Tiger : kopi susu Tiger. Kopi Kenangan : kopi kenangan mantan ceo,avocado coffee. Point coffee : caramel macchiato,palm sugar,Dolce,avocoffee","['kalo', 'menurut', 'lidah', 'gua', 'kopi', 'nako', 'pokoknya', 'yg', 'gula', 'karna', 'belinya', 'di', 'tkp', 'jadi', 'gak', 'bisa', 'cek', 'history', 'orderan', 'kopi', 'tiger', 'kopi', 'susu', 'tiger', 'kopi', 'kenangan', 'kopi', 'kenangan', 'mantan', 'ceo', 'avocado', 'coffee', 'point', 'coffee', 'caramel', 'macchiato', 'palm', 'sugar', 'dolce', 'avocoffee']"
12/2023,Point coffee jangan lupaaa!!!,"['point', 'coffee', 'jangan', 'lupaaa']"
12/2023,"Point coffee yg palm sugar latte, beanspot yg kopi djadoelnya enakk","['point', 'coffee', 'yg', 'palm', 'sugar', 'latte', 'beanspot', 'yg', 'kopi', 'djadoelnya', 'enakk']"
12/2023,"point coffee caramel macchiato less sugar additional caramel sauce, atau kalo suka oat milk bisa ganti. dan tambah enak fore coffee yang caramel praline macchiato, less sugar juga kopken mantan all normal sesuai menu, additional grass jelly kopi nya shell juga lumayan","['point', 'coffee', 'caramel', 'macchiato', 'sugar', 'additional', 'caramel', 'sauce', 'atau', 'kalo', 'suka', 'oat', 'milk', 'bisa', 'ganti', 'dan', 'tambah', 'enak', 'fore', 'coffee', 'yang', 'caramel', 'praline', 'macchiato', 'sugar', 'juga', 'kopken', 'mantan', 'normal', 'sesuai', 'menu', 'additional', 'grass', 'jelly', 'kopi', 'nya', 'shell', 'juga', 'lumayan']"
12/2023,"point coffee caramel macchiato less sugar additional caramel sauce, atau kalo suka oat milk bisa ganti. dan tambah enak fore coffee yang caramel praline macchiato, less sugar juga kopken mantan all normal sesuai menu, additional grass jelly kopi nya shell juga lumayan","['point', 'coffee', 'caramel', 'macchiato', 'sugar', 'additional', 'caramel', 'sauce', 'atau', 'kalo', 'suka', 'oat', 'milk', 'bisa', 'ganti', 'dan', 'tambah', 'enak', 'fore', 'coffee', 'yang', 'caramel', 'praline', 'macchiato', 'sugar', 'juga', 'kopken', 'mantan', 'normal', 'sesuai', 'menu', 'additional', 'grass', 'jelly', 'kopi', 'nya', 'shell', 'juga', 'lumayan']"
12/2023,"Kemaren cobain butterscotch sea salt nya fore enak bgttttrrr, pandan latte juga enak!!","['kemaren', 'cobain', 'butterscotch', 'sea', 'salt', 'nya', 'fore', 'enak', 'bgttttrrr', 'pandan', 'latte', 'juga', 'enak']"
12/2023,keluarkan resep point coffee andalan anda @oilyfaceu,"['keluarkan', 'resep', 'point', 'coffee', 'andalan', 'anda']"
12/2023,kopi kenangan avocado caramel,"['kopi', 'kenangan', 'avocado', 'caramel']"
12/2023,Jadi pen fore dech,"['jadi', 'pen', 'fore', 'dech']"
12/2023,"fore : irish caffe latte tapi skrg dah ganti nama lupa jadi apaan, caramel praline macchiato","['fore', 'irish', 'caffe', 'latte', 'tapi', 'skrg', 'dah', 'ganti', 'nama', 'lupa', 'jadi', 'apaan', 'caramel', 'praline', 'macchiato']"
12/2023,caramel praline nya fore jg enakkk,"['caramel', 'praline', 'nya', 'fore', 'jg', 'enakkk']"
12/2023,Kopi kenangan mantan enak banget si...,"['kopi', 'kenangan', 'mantan', 'enak', 'banget', 'si']"
12/2023,manuka americano less sweet-nya fore! ori/berry enak semuaa,"['manuka', 'americano', 'sweet', 'nya', 'fore', 'ori', 'berry', 'enak', 'semuaa']"
12/2023,kopi kenangan yg caramel macchiato nya enak bgttt,"['kopi', 'kenangan', 'yg', 'caramel', 'macchiato', 'nya', 'enak', 'bgttt']"
12/2023,Fore yang irish latte tapi diganti oatmilk sayangnya udah gak ada sedih aku,"['fore', 'yang', 'irish', 'latte', 'tapi', 'diganti', 'oatmilk', 'sayangnya', 'udah', 'gak', 'ada', 'sedih', 'aku']"
